id_miasto;id_wojewodztwo;nazwa
1;1;San Nicolás
2;2;Fort Worth
3;3;Deline
4;4;Pangkalpinang
5;5;Zeya
6;6;Santo Domingo
7;7;Ukkel
8;8;Balsas
9;9;Aligarh
10;10;LiŽge
11;11;Mejillones
12;12;Sclayn
13;13;Khyber Agency
14;14;Villafalletto
15;15;Tierralta
16;16;Béziers
17;17;San Lazzaro di Savena
18;18;Tavistock
19;19;Fort Smith
20;20;Saavedra
21;21;Saint-Prime
22;22;Acuna
23;23;Lleida
24;24;Macul
25;25;Kalat
26;26;Hilversum
27;27;Warangal
28;28;Milazzo
29;29;Feldkirchen in Kärnten
30;30;Pomarolo
31;31;Bryansk
32;32;Hannover
33;33;Tacoma
34;34;Greater Hobart
35;35;Springfield
36;36;Zhukovka
37;37;Rivi?re-du-Loup
38;38;Portezuelo
39;39;Pforzheim
40;40;Bovesse
41;41;Böblingen
42;42;Saint-Dizier
43;43;Saint Paul
44;44;Rothes
45;45;Kerkhove
46;46;Gander
47;47;Warrington
48;48;Lathuy
49;49;Hattian Bala
50;50;Wittenberg
51;51;Carpignano Salentino
52;52;Bever Bievene
53;53;Paradise
54;54;Saint-Vincent
55;55;Bathurst
56;56;Tours
57;57;Oria
58;58;Latera
59;59;Raipur
60;60;Pont-Saint-Martin
61;61;Guelph
62;62;Palopo
63;63;Biryuch
64;64;Rockingham
65;65;Tournefeuille
66;66;Lörrach
67;67;King Township
68;68;Barrhead
69;69;Mannekensvere
70;70;Papudo
71;71;Kirkland
72;72;Irkutsk
73;73;Jamnagar
74;74;Abbateggio
75;75;Bunbury
76;76;Coquitlam
77;77;Promo-Control
78;78;Autre-Eglise
79;79;Roccabruna
80;80;Yongin
81;81;Canora
82;82;Kington
83;83;Hattem
84;84;Dunfermline
85;85;Baarle-Hertog
86;86;Corte Brugnatella
87;87;Diegem
88;88;Kallo
89;89;Täby
90;90;Sargodha
91;91;Bolinne
92;92;Kukatpalle
93;93;Ham-sur-Heure-Nalinnes
94;94;Profondeville
95;95;Los Angeles
96;96;Ciudad Madero
97;97;Lens-Saint-Servais
98;98;Norman
99;99;Mildura
100;100;Warminster
101;150;Antofagasta
102;51;Yeosu
103;52;Tramutola
104;53;Lachine
105;54;Dillenburg
106;55;Innisfail
107;56;Sauveni?re
108;57;San Lorenzo
109;58;Pinto
110;59;Falun
111;60;Gimpo
112;61;Lota
113;62;Llangollen
114;63;Grand Falls
115;64;Wageningen
116;65;Independence
117;66;Smolensk
118;67;Nuremberg
119;68;Satara
120;69;Thorold
121;70;Butte
122;71;Le Havre
123;72;Buren
124;73;Victoria
125;74;Darion
126;75;Lleida
127;76;Reno
128;77;Grimaldi
129;78;Newbury
130;79;Stade
131;80;Bowden
132;81;Gubbio
133;82;Bilaspur
134;83;Armadale
135;84;Pematangsiantar
136;85;Lamont
137;86;Aurora
138;87;Purnea
139;88;Tumbler Ridge
140;89;Ostra Vetere
141;90;Rudiano
142;91;Parepare
143;92;Legal
144;93;Diamer
145;94;Smoky Lake
146;95;Esterzili
147;96;Sooke
148;97;Sant'Onofrio
149;98;Flushing
150;99;Banff
151;100;Orito
152;101;Maunath Bhanjan
153;102;Saltcoats
154;103;Midway
155;104;Castelbuono
156;105;Montbliart
157;106;Bhind
158;107;Ganshoren
159;108;San Antonio
160;109;La Rochelle
161;110;Kortessem
162;111;Erli
163;112;Wambeek
164;113;D?gelis
165;114;Fogo
166;115;Bromley
167;116;Seogwipo
168;117;Killa Abdullah
169;118;South Bend
170;119;Blitar
171;120;Ukkel
172;121;Macduff
173;122;Ourense
174;123;Cardiff
175;124;Uberaba
176;125;Asse
177;126;Keswick
178;127;Korolyov
179;128;Buckley
180;129;Hervey Bay
181;130;Windsor
182;131;Nacimiento
183;132;Montreal
184;133;Grezzana
185;134;Valverde
186;135;Paradise
187;136;Begles
188;137;San Pietro al Tanagro
189;138;Saltillo
190;139;Jhang
191;140;Périgueux
192;141;Emarese
193;142;Sint-Martens-Lennik
194;143;Ville de Maniwaki
195;144;Merbes-Sainte-Marie
196;145;Jammu
197;146;Belfort
198;147;Narcao
199;148;Sh?diac
200;149;Ribeirao das Neves
